LebwohlLasher3.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.281, Time: 0.630327 s
         4278894 function calls (4091684 primitive calls) in 1.965 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      370    0.000    0.000    0.010    0.000 _itertools.py:4(unique_everseen)
       15    0.000    0.000    0.010    0.001 lowering.py:357(init)
     1263    0.003    0.000    0.010    0.000 utils.py:316(order_by_target_specificity)
       15    0.001    0.000    0.010    0.001 lowering.py:373(_find_singly_assigned_variable)
        1    0.000    0.000    0.010    0.010 loader.py:1(<module>)
    17266    0.005    0.000    0.010    0.000 event.py:100(__init__)
    20505    0.005    0.000    0.010    0.000 utils.py:408(stream_list)
      428    0.001    0.000    0.009    0.000 lowering.py:1511(delvar)
38334/37554    0.004    0.000    0.009    0.000 {built-in method builtins.repr}
    55598    0.005    0.000    0.009    0.000 {method 'get' of 'dict' objects}
      265    0.000    0.000    0.009    0.000 typeinfer.py:1473(resolve_value_type)
        1    0.000    0.000    0.009    0.009 offsetbox.py:1(<module>)
        1    0.000    0.000    0.009    0.009 secrets.py:1(<module>)
        1    0.000    0.000    0.009    0.009 axis.py:1(<module>)
      422    0.000    0.000    0.009    0.000 context.py:263(resolve_getattr)
     1057    0.002    0.000    0.009    0.000 templates.py:880(make_overload_template)
       72    0.000    0.000    0.009    0.000 cgutils.py:99(__init__)
      449    0.000    0.000    0.009    0.000 base.py:42(find)
      489    0.001    0.000    0.009    0.000 lowering.py:1567(decref)
        1    0.000    0.000    0.009    0.009 parfor_lowering.py:1(<module>)
   122560    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
    18326    0.006    0.000    0.009    0.000 pprint.py:102(_safe_tuple)
  105/103    0.000    0.000    0.009    0.000 __init__.py:10(__getattr__)
       15    0.000    0.000    0.009    0.001 typed_passes.py:881(run_pass)
       16    0.000    0.000    0.009    0.001 codegen.py:773(_verify_declare_only_symbols)
        1    0.000    0.000    0.009    0.009 cffi_utils.py:1(<module>)
        1    0.000    0.000    0.008    0.008 containers.py:1(<module>)
